# Region type : patch tomato
# Faces  :    11111
# Area   :    1.536923e+00
# Time        	areaAverage(CO2)
0             	3.028138e+02
1             	3.051551e+02
2             	3.040058e+02
3             	2.944832e+02
4             	2.932403e+02
5             	2.948522e+02
6             	2.993814e+02
7             	3.005602e+02
8             	2.970914e+02
9             	2.942790e+02
10            	2.936939e+02
11            	2.947324e+02
12            	2.967368e+02
13            	2.972442e+02
14            	2.964173e+02
15            	2.950626e+02
16            	2.943692e+02
17            	2.945452e+02
18            	2.949329e+02
19            	2.950767e+02
20            	2.949069e+02
21            	2.941928e+02
22            	2.937199e+02
23            	2.935690e+02
24            	2.936567e+02
25            	2.937091e+02
26            	2.936954e+02
27            	2.934576e+02
28            	2.931787e+02
29            	2.930867e+02
30            	2.930455e+02
31            	2.930653e+02
32            	2.931095e+02
33            	2.931273e+02
34            	2.931174e+02
35            	2.930880e+02
36            	2.930921e+02
37            	2.931244e+02
38            	2.931456e+02
39            	2.931492e+02
40            	2.931455e+02
41            	2.931326e+02
42            	2.931188e+02
43            	2.931028e+02
44            	2.930813e+02
45            	2.930592e+02
46            	2.930359e+02
47            	2.930146e+02
48            	2.930358e+02
49            	2.930262e+02
50            	2.929777e+02
51            	2.930039e+02
52            	2.929884e+02
53            	2.929803e+02
54            	2.929772e+02
55            	2.929818e+02
56            	2.929919e+02
57            	2.929823e+02
58            	2.929851e+02
59            	2.929876e+02
60            	2.929861e+02
61            	2.929826e+02
62            	2.929872e+02
63            	2.929553e+02
64            	2.929790e+02
65            	2.929763e+02
66            	2.929672e+02
67            	2.929668e+02
68            	2.929781e+02
