#      face_x        face_y        face_z
     0.748539      0.857538      0.756497
     0.557814      0.747833      0.853327
     0.257991       0.96662      0.855041
     0.257794       0.96429      0.903364
     0.612926       1.00811      0.954911
     0.312852       1.05816        1.0564
     0.313318      0.859674       1.15537
     0.311458       1.05658       1.20625
     0.557745       0.89419       0.75114
     0.251533      0.842823      0.793507
     0.550632      0.844108      0.793936
     0.742187      0.851435      0.754611
     0.551473      0.893068      0.757303
     0.257843       0.95084       0.79388
     0.251533      0.957177      0.793507
     0.442011       1.09369      0.804892
     0.257841      0.750643      0.845653
         0.85      0.743755       0.84373
      0.25152      0.757168      0.845171
     0.387032      0.757376      0.845008
     0.742189      0.813446      0.804762
     0.742168      0.886074      0.841342
      0.25152       1.04283      0.845171
     0.387025      0.695481      0.857748
     0.551509      0.742262      0.855498
     0.257991       0.83338      0.855041
     0.850606      0.844184      0.892693
     0.442181      0.937768       0.89121
     0.912805      0.943511      0.857973
     0.913038       1.14399       0.89569
     0.387023      0.644593      0.944683
     0.556871      0.699653      0.945171
     0.687042      0.694287      0.945339
     0.550766       0.70684      0.943642
     0.387144       0.75756      0.905371
     0.557779      0.794387      0.952241
     0.257794       0.83571      0.903364
     0.851527      0.844176      0.903931
     0.910977       1.14409      0.943675
     0.911692       1.15509      0.943849
     0.386903      0.654712      0.993903
     0.688563      0.656299      0.994548
     0.551473      0.744246      0.993007
     0.689601      0.706093      0.956533
     0.857767      0.740785       1.00021
     0.551516       0.79322      0.958079
     0.687072      0.693273        1.0423
     0.851544      0.741663       1.00668
     0.611332       1.14507       1.04367
     0.611317        1.1553       1.04358
     0.687085      0.657312       1.09436
     0.495292      0.751244       1.05703
     0.386886      0.796112       1.05931
     0.912882       1.09175        1.0922
     0.611731       1.14388       1.09284
     0.912894       1.14246       1.05465
     0.686519      0.743018       1.14523
     0.689295      0.806348       1.14399
     0.495328      0.950399        1.1065
     0.612945      0.944867       1.14287
     0.310628       1.09398       1.10627
     0.612617       1.14314       1.10383
     0.688924      0.743857       1.15656
     0.795272      0.891955       1.16268
     0.804728      0.891955       1.16268
     0.311411      0.992369        1.1939
     0.311756       1.05676       1.19506
     0.312502      0.894726       1.20545
     0.795214      0.863849       1.24574
     0.804786      0.863849       1.24574
     0.313066      0.945485       1.24198
     0.795272      0.935403       1.20719
     0.804728      0.935403       1.20719
     0.311597      0.957384       1.24295
     0.266289      0.916437       0.76047
         0.75      0.968454       0.75598
     0.748267      0.968768      0.766286
     0.748463       1.01788       0.75756
     0.749356       1.00581      0.768134
     0.748562      0.819898      0.806476
      0.91875       1.00324      0.815161
     0.912967       1.00533      0.819908
     0.566202       0.74779      0.853612
     0.266189      0.966621      0.855045
     0.257861      0.763981      0.917751
     0.374667      0.757497      0.905367
     0.566241      0.760954      0.916255
     0.374928      0.807347      0.917673
     0.266201       0.96437      0.903532
      0.91875       1.01894      0.893224
      0.67188      0.705903      0.956575
     0.612941        1.0586      0.966908
         0.45       1.01863       1.00653
     0.804767       1.05631       1.02612
      0.31875       1.10848       1.01627
     0.312817       1.10405       1.01797
     0.449391       1.10475       1.01903
     0.617247       1.11711      0.997424
     0.910705       1.11886       1.00633
     0.374779      0.805665       1.11755
     0.672711      0.856324       1.11909
     0.809835      0.867726       1.11818
      0.31875      0.910704       1.11883
     0.312877      0.904916       1.11853
     0.610629      0.968756       1.10635
     0.804742       1.02469       1.10678
      0.91875       1.01967       1.10631
     0.913654       1.01959       1.10289
      0.31875       1.07766       1.11786
      0.61875       1.14844       1.10274
     0.671711      0.818751       1.16879
     0.804764       1.02617       1.17037
      0.31875       1.07682       1.16841
     0.674715      0.768605       1.20505
     0.505086      0.924693       1.21678
         0.81      0.918227       1.21834
     0.313691       1.05609       1.21647
     0.557801      0.783913      0.752575
     0.566195      0.783994      0.752597
     0.566207      0.894207      0.751151
     0.551481      0.732366      0.793432
     0.557769      0.726582      0.791968
     0.566169      0.726614      0.791879
     0.551562      0.782512      0.757904
         0.55      0.781558      0.768802
     0.550776      0.781011      0.780521
      0.55697      0.781685      0.787587
     0.551485      0.832127      0.792677
     0.733835      0.851465      0.754593
     0.250807       0.88138      0.754792
     0.266289      0.883563       0.76047
     0.550634      0.880991      0.756089
     0.266168       0.95085       0.79395
     0.433831      0.930896      0.788128
         0.25      0.968881      0.793725
     0.433817        1.0937      0.804893
      0.38125      0.696646      0.852673
      0.26619      0.750732      0.845453
     0.374796      0.757272       0.84501
     0.733827      0.813461      0.804824
     0.550633      0.894199      0.831575
     0.551476      0.882108       0.83067
     0.557733      0.881345      0.837302
     0.733799      0.886057      0.841401
      0.91875      0.942288      0.853012
     0.442194       1.03322      0.835486
     0.910454       1.00645      0.831373
     0.374805      0.695363      0.857743
         0.55      0.693964      0.881234
     0.551728      0.682369      0.891976
     0.550699      0.682653      0.879818
     0.557933      0.676311      0.890631
     0.566229      0.676524      0.890794
         0.85      0.682208      0.868984
     0.851715      0.733348      0.866122
     0.742175      0.801453      0.876985
     0.733746       0.80174      0.877534
      0.85174       0.79496      0.867234
     0.251744      0.828444      0.854821
     0.266189      0.833379      0.855045
     0.374822      0.830192      0.869242
     0.371728      0.818694      0.893791
         0.39      0.818751      0.893748
      0.55784      0.901975      0.883202
     0.566177       0.90199      0.883251
     0.733625      0.862705      0.883616
         0.85      0.856768      0.881343
     0.433794      0.937756      0.891247
         0.55      0.943675      0.868588
     0.551572      0.907561      0.881722
         0.55      0.918984      0.881632
         0.25      0.981658      0.855477
     0.910401      0.956387      0.881138
      0.61875       1.01624      0.890732
     0.612974       1.01723      0.895482
     0.913659       1.01825      0.890052
     0.617267       1.08262       0.90245
     0.913662       1.08124      0.890225
     0.374857      0.644642      0.944518
     0.851544       0.64522      0.917372
     0.866185      0.639723      0.918395
      0.56636      0.699715      0.945326
     0.674872      0.694123      0.945384
     0.566186      0.794434       0.95227
      0.68125      0.766523      0.927117
     0.675931      0.767807       0.93172
     0.251515      0.829974      0.905367
     0.266201       0.83563      0.903532
     0.386973      0.807459       0.91769
         0.25      0.981444      0.906302
     0.251552       1.02995      0.917143
     0.257861       1.03602      0.917751
     0.611295       1.08134      0.907394
         0.61       1.06875      0.943743
     0.618745       1.14179      0.928525
     0.613125         1.143      0.933438
     0.911666       1.13179       0.90566
     0.913184       1.13441      0.943571
      0.68125      0.652152      0.983822
      0.37494      0.654653      0.993763
      0.67368      0.655327      0.995096
     0.674887      0.656666        0.9828
     0.687424      0.657252      0.983142
     0.673648      0.732269      0.992442
     0.688563      0.731223      0.993061
     0.866198       0.74084       1.00023
         0.55      0.781346       0.96914
     0.672892      0.781278      0.968441
      0.67598      0.781762      0.980177
     0.311144       1.04289      0.981382
     0.433826       1.01619      0.990528
         0.61       1.13125      0.956257
     0.611296       1.11861      0.992566
     0.917268       1.11647      0.990977
     0.911657       1.11895      0.995042
      0.38125      0.691788       1.03045
