#      face_x        face_y        face_z           CO2
     0.748539      0.857538      0.756497       292.954
     0.557814      0.747833      0.853327       313.093
     0.257991       0.96662      0.855041       279.457
     0.257794       0.96429      0.903364        310.63
     0.612926       1.00811      0.954911       300.824
     0.312852       1.05816        1.0564       296.093
     0.313318      0.859674       1.15537       289.757
     0.311458       1.05658       1.20625       303.455
     0.557745       0.89419       0.75114       312.492
     0.251533      0.842823      0.793507       295.827
     0.550632      0.844108      0.793936        309.96
     0.742187      0.851435      0.754611       301.723
     0.551473      0.893068      0.757303       299.218
     0.257843       0.95084       0.79388       311.823
     0.251533      0.957177      0.793507       295.704
     0.442011       1.09369      0.804892       281.089
     0.257841      0.750643      0.845653       312.357
         0.85      0.743755       0.84373       320.565
      0.25152      0.757168      0.845171       296.432
     0.387032      0.757376      0.845008       292.912
     0.742189      0.813446      0.804762       304.526
     0.742168      0.886074      0.841342       309.298
      0.25152       1.04283      0.845171       296.138
     0.387025      0.695481      0.857748       296.523
     0.551509      0.742262      0.855498       296.196
     0.257991       0.83338      0.855041       279.785
     0.850606      0.844184      0.892693       302.588
     0.442181      0.937768       0.89121       318.243
     0.912805      0.943511      0.857973       293.924
     0.913038       1.14399       0.89569       293.111
     0.387023      0.644593      0.944683       290.607
     0.556871      0.699653      0.945171       307.644
     0.687042      0.694287      0.945339       285.966
     0.550766       0.70684      0.943642       298.572
     0.387144       0.75756      0.905371       289.444
     0.557779      0.794387      0.952241       312.679
     0.257794       0.83571      0.903364       310.568
     0.851527      0.844176      0.903931        293.01
     0.910977       1.14409      0.943675        303.65
     0.911692       1.15509      0.943849       298.262
     0.386903      0.654712      0.993903       291.976
     0.688563      0.656299      0.994548       299.706
     0.551473      0.744246      0.993007       296.934
     0.689601      0.706093      0.956533        304.84
     0.857767      0.740785       1.00021       312.489
     0.551516       0.79322      0.958079       298.162
     0.687072      0.693273        1.0423       292.018
     0.851544      0.741663       1.00668        299.02
     0.611332       1.14507       1.04367       300.355
     0.611317        1.1553       1.04358       301.656
     0.687085      0.657312       1.09436       289.594
     0.495292      0.751244       1.05703       312.665
     0.386886      0.796112       1.05931       297.784
     0.912882       1.09175        1.0922       300.305
     0.611731       1.14388       1.09284       307.065
     0.912894       1.14246       1.05465       299.694
     0.686519      0.743018       1.14523        287.34
     0.689295      0.806348       1.14399       310.293
     0.495328      0.950399        1.1065       313.184
     0.612945      0.944867       1.14287       300.711
     0.310628       1.09398       1.10627       312.236
     0.612617       1.14314       1.10383       308.832
     0.688924      0.743857       1.15656       308.439
     0.795272      0.891955       1.16268       319.775
     0.804728      0.891955       1.16268        318.28
     0.311411      0.992369        1.1939       304.918
     0.311756       1.05676       1.19506       298.517
     0.312502      0.894726       1.20545       300.455
     0.795214      0.863849       1.24574       313.123
     0.804786      0.863849       1.24574       311.722
     0.313066      0.945485       1.24198       297.016
     0.795272      0.935403       1.20719       317.013
     0.804728      0.935403       1.20719       315.502
     0.311597      0.957384       1.24295       305.411
     0.266289      0.916437       0.76047       315.176
         0.75      0.968454       0.75598       285.099
     0.748267      0.968768      0.766286       274.597
     0.748463       1.01788       0.75756       284.108
     0.749356       1.00581      0.768134       287.745
     0.748562      0.819898      0.806476       295.639
      0.91875       1.00324      0.815161       287.954
     0.912967       1.00533      0.819908       292.468
     0.566202       0.74779      0.853612       312.215
     0.266189      0.966621      0.855045       278.749
     0.257861      0.763981      0.917751       309.439
     0.374667      0.757497      0.905367       299.576
     0.566241      0.760954      0.916255       310.824
     0.374928      0.807347      0.917673       291.868
     0.266201       0.96437      0.903532       309.582
      0.91875       1.01894      0.893224       252.375
      0.67188      0.705903      0.956575       311.734
     0.612941        1.0586      0.966908       299.343
         0.45       1.01863       1.00653       300.286
     0.804767       1.05631       1.02612       315.952
      0.31875       1.10848       1.01627       279.882
     0.312817       1.10405       1.01797       294.119
     0.449391       1.10475       1.01903       294.734
     0.617247       1.11711      0.997424       287.046
     0.910705       1.11886       1.00633       308.867
     0.374779      0.805665       1.11755       298.423
     0.672711      0.856324       1.11909       309.982
     0.809835      0.867726       1.11818       284.071
      0.31875      0.910704       1.11883        281.04
     0.312877      0.904916       1.11853       294.397
     0.610629      0.968756       1.10635       313.943
     0.804742       1.02469       1.10678       308.765
      0.91875       1.01967       1.10631       251.017
     0.913654       1.01959       1.10289       283.325
      0.31875       1.07766       1.11786       284.722
      0.61875       1.14844       1.10274       301.967
     0.671711      0.818751       1.16879       315.258
     0.804764       1.02617       1.17037       312.143
      0.31875       1.07682       1.16841       274.089
     0.674715      0.768605       1.20505       298.406
     0.505086      0.924693       1.21678       309.626
         0.81      0.918227       1.21834       295.596
     0.313691       1.05609       1.21647       286.134
     0.557801      0.783913      0.752575       314.711
     0.566195      0.783994      0.752597       311.362
     0.566207      0.894207      0.751151       313.815
     0.551481      0.732366      0.793432       298.082
     0.557769      0.726582      0.791968       313.217
     0.566169      0.726614      0.791879       310.713
     0.551562      0.782512      0.757904       299.052
         0.55      0.781558      0.768802       309.469
     0.550776      0.781011      0.780521       299.267
      0.55697      0.781685      0.787587        320.24
     0.551485      0.832127      0.792677       300.211
     0.733835      0.851465      0.754593       306.987
     0.250807       0.88138      0.754792        295.08
     0.266289      0.883563       0.76047       315.137
     0.550634      0.880991      0.756089       308.201
     0.266168       0.95085       0.79395       309.719
     0.433831      0.930896      0.788128       311.557
         0.25      0.968881      0.793725       310.476
     0.433817        1.0937      0.804893       280.963
      0.38125      0.696646      0.852673       304.249
      0.26619      0.750732      0.845453       310.462
     0.374796      0.757272       0.84501       298.905
     0.733827      0.813461      0.804824       309.045
     0.550633      0.894199      0.831575       307.789
     0.551476      0.882108       0.83067       299.644
     0.557733      0.881345      0.837302        313.52
     0.733799      0.886057      0.841401       308.495
      0.91875      0.942288      0.853012       274.746
     0.442194       1.03322      0.835486       309.106
     0.910454       1.00645      0.831373       309.129
     0.374805      0.695363      0.857743       302.452
         0.55      0.693964      0.881234       306.447
     0.551728      0.682369      0.891976       290.159
     0.550699      0.682653      0.879818       292.046
     0.557933      0.676311      0.890631       288.677
     0.566229      0.676524      0.890794       286.757
         0.85      0.682208      0.868984        306.67
     0.851715      0.733348      0.866122       295.511
     0.742175      0.801453      0.876985       319.231
     0.733746       0.80174      0.877534        316.35
      0.85174       0.79496      0.867234       295.374
     0.251744      0.828444      0.854821       290.891
     0.266189      0.833379      0.855045       279.073
     0.374822      0.830192      0.869242        298.27
     0.371728      0.818694      0.893791       310.938
         0.39      0.818751      0.893748       310.912
      0.55784      0.901975      0.883202       307.443
     0.566177       0.90199      0.883251       305.626
     0.733625      0.862705      0.883616       314.949
         0.85      0.856768      0.881343       309.075
     0.433794      0.937756      0.891247       317.501
         0.55      0.943675      0.868588       311.378
     0.551572      0.907561      0.881722       287.974
         0.55      0.918984      0.881632       304.046
         0.25      0.981658      0.855477       309.899
     0.910401      0.956387      0.881138       312.218
      0.61875       1.01624      0.890732       300.757
     0.612974       1.01723      0.895482        301.16
     0.913659       1.01825      0.890052       284.031
     0.617267       1.08262       0.90245       286.632
     0.913662       1.08124      0.890225       284.216
     0.374857      0.644642      0.944518       299.534
     0.851544       0.64522      0.917372       296.877
     0.866185      0.639723      0.918395       310.158
      0.56636      0.699715      0.945326       307.527
     0.674872      0.694123      0.945384       298.002
     0.566186      0.794434       0.95227       312.324
      0.68125      0.766523      0.927117       281.904
     0.675931      0.767807       0.93172        286.79
     0.251515      0.829974      0.905367       296.614
     0.266201       0.83563      0.903532       309.539
     0.386973      0.807459       0.91769       290.706
         0.25      0.981444      0.906302       310.268
     0.251552       1.02995      0.917143       295.461
     0.257861       1.03602      0.917751        309.59
     0.611295       1.08134      0.907394       302.096
         0.61       1.06875      0.943743       317.174
     0.618745       1.14179      0.928525       287.824
     0.613125         1.143      0.933438       291.775
     0.911666       1.13179       0.90566       299.966
     0.913184       1.13441      0.943571       287.225
      0.68125      0.652152      0.983822        295.21
      0.37494      0.654653      0.993763       296.971
      0.67368      0.655327      0.995096       304.948
     0.674887      0.656666        0.9828       303.194
     0.687424      0.657252      0.983142       294.041
     0.673648      0.732269      0.992442       303.652
     0.688563      0.731223      0.993061       296.528
     0.866198       0.74084       1.00023       309.791
         0.55      0.781346       0.96914       313.962
     0.672892      0.781278      0.968441        310.59
      0.67598      0.781762      0.980177       287.402
     0.311144       1.04289      0.981382       308.213
     0.433826       1.01619      0.990528       315.207
         0.61       1.13125      0.956257       312.994
     0.611296       1.11861      0.992566       300.571
     0.917268       1.11647      0.990977       286.098
     0.911657       1.11895      0.995042       295.874
      0.38125      0.691788       1.03045       256.337
     0.376165      0.690509       1.03371       286.207
     0.386875      0.691784       1.03434       293.867
      0.67188      0.681565       1.03098       314.375
     0.674826      0.693421       1.04225       299.765
     0.674805      0.731008       1.00514        304.52
      0.68747      0.730344       1.00479       292.325
      0.68125      0.735512       1.00434       291.909
     0.850586      0.729812       1.00666       303.686
      0.38125      0.796379       1.05519       257.956
     0.851577      0.782533       1.02051       300.041
         0.85      0.781529       1.03148       314.306
     0.857817      0.784192       1.01523        319.97
     0.310394        1.0317       1.00628       313.446
     0.795233       1.05631       1.02612       317.376
     0.910405       1.06887       1.04378       313.337
      0.68125      0.651884       1.09491       292.039
     0.370859      0.681882       1.08126       317.487
     0.371918      0.681828       1.09399       313.014
     0.389531      0.681026       1.09348       317.055
     0.674766      0.657344       1.09424       300.508
     0.674971      0.678259       1.09474       298.772
     0.686859      0.678251       1.09491       285.555
      0.68125      0.682195        1.0961       261.468
     0.851615       0.69496       1.06698       294.652
      0.37473      0.744159       1.06945       296.229
      0.38125      0.746392       1.06442       287.196
     0.387609      0.744785       1.06991       302.347
     0.371081      0.743295       1.08129       315.591
         0.39      0.743715        1.0814       318.577
     0.376167      0.797519       1.05867       286.537
         0.49      0.781252       1.06875        314.16
         0.51      0.781252       1.06875       298.274
     0.851549      0.768735       1.08023       299.034
     0.857842      0.768096       1.08646       315.816
     0.611531      0.967496       1.09431       306.336
      0.61875      0.977799       1.08904       286.958
     0.612987       0.97938       1.09446       297.641
     0.910959       1.01907       1.09329       304.776
      0.61875       1.08477       1.10309       302.595
     0.618728       1.13211       1.07961       267.529
     0.374729      0.679427        1.1045       301.955
      0.38125      0.676989        1.1091       292.052
     0.387085      0.679345       1.10449       302.936
     0.674864      0.680897       1.14252        299.37
     0.686974      0.681018       1.14259       281.434
     0.374786       0.73285       1.12964       298.907
      0.49513      0.726461       1.12765       316.232
     0.490164      0.732721        1.1295       298.967
      0.50487      0.726461       1.12765       313.512
     0.509836      0.732721        1.1295       282.796
     0.675981      0.743019       1.14523       287.314
         0.49      0.781227       1.13125       313.508
         0.51      0.781227       1.13125       299.356
     0.795479      0.803731       1.12936       286.335
     0.804521      0.803731       1.12936       285.361
     0.387082      0.805538       1.11758        300.57
     0.681251      0.803488       1.12956       292.788
      0.67294      0.805858       1.14422       311.989
     0.675985      0.804895       1.13333       290.305
     0.686974      0.805472       1.13336       293.569
     0.310466      0.869574       1.14419       311.778
     0.310401      0.893476       1.13098       313.312
     0.688555      0.856409       1.11912       301.054
     0.671831      0.869009       1.13114       317.342
     0.673685      0.881726       1.14304       308.034
     0.688167      0.881628       1.14308       299.467
     0.790165      0.867726       1.11818        292.46
     0.610401      0.956094       1.13107       315.921
     0.795258       1.02469       1.10678       310.305
     0.612975       1.08287       1.10785        303.29
     0.672895       0.74382        1.1566       308.595
      0.67464      0.830731       1.19271       299.942
     0.687201      0.830621       1.19275       295.086
     0.795133       0.82567       1.19571       309.801
     0.804867       0.82567       1.19571       306.737
     0.674779      0.880251       1.15567       304.769
     0.687106      0.880307       1.15549       293.467
      0.68125      0.885073       1.15549       288.728
     0.790009      0.880492       1.16822       307.407
     0.809991      0.880492       1.16822       285.073
     0.490421       1.01644       1.17887       292.529
     0.509579       1.01644       1.17887       293.528
      0.61297       1.00789       1.17969       300.585
      0.61875       1.00852        1.1847       301.412
     0.795236       1.02617       1.17037       313.385
     0.790162       1.03233       1.16898       297.154
     0.809838       1.03233       1.16898       288.959
      0.68125      0.768898        1.2104       285.235
     0.687147      0.768468        1.2051        295.79
     0.494914      0.924693       1.21678       311.739
     0.490154      0.931887       1.21881       300.819
     0.509846      0.931887       1.21881       295.956
         0.79      0.918227       1.21834       317.522
     0.490162      0.980539       1.23122       295.713
     0.495251      0.987443        1.2321       309.167
     0.509838      0.980539       1.23122       297.245
     0.504749      0.987443        1.2321       306.381
     0.795243      0.980062       1.22727       294.594
     0.790195      0.980725       1.23337       295.033
     0.804757      0.980062       1.22727       293.679
     0.809805      0.980725       1.23337       264.302
        0.558      0.856792      0.715111       282.608
         0.75       1.00625      0.706265       299.895
     0.556887      0.709912      0.753938       334.646
     0.256669      0.764109       0.75772       280.932
         0.75      0.906243      0.756256       307.548
         0.75      0.955768      0.756374       290.142
         0.45       1.00832      0.756804       292.682
         0.75       1.00578       0.75598       288.451
      0.55829      0.808469      0.795297       268.128
     0.256807      0.852479      0.808922       333.764
         0.75       0.85625       0.80625       317.078
         0.45      0.906288      0.806445       305.993
         0.75      0.905788      0.805969       305.746
         0.45      0.956246      0.806247       316.424
     0.911651      0.957722      0.806817       287.267
         0.45       1.00625      0.806254       315.053
     0.257084       1.05253      0.809286       323.228
         0.45        1.0562       0.80624       307.716
         0.75       1.05625      0.806267       303.492
     0.448551       1.10751      0.809123       275.729
     0.748875       1.10387      0.806898       265.166
     0.911601       1.10545      0.808658       284.249
         0.45       1.15612      0.806185       299.048
     0.557509      0.756839       0.86229       280.755
         0.75      0.806442      0.856163         302.6
         0.75      0.856198      0.856198       314.404
         0.45      0.906292      0.856266       308.728
      0.91383      0.908677      0.858668       271.076
     0.449329      0.955735      0.855596       296.159
     0.911571      0.956027      0.856179       306.056
     0.448116       1.00611      0.855193       285.971
     0.748835       1.00809      0.856104       266.824
      0.91022       1.00605      0.856206       311.919
         0.75       1.05625       0.85625       301.303
         0.91       1.05625       0.85625       308.334
     0.449237       1.10659      0.855147       284.822
         0.91        1.1062      0.856258       311.234
     0.858334      0.608631      0.896833       281.499
         0.75      0.806872      0.906029       285.517
       0.2583       0.85403      0.915471       262.128
         0.75      0.856292      0.906216       293.103
         0.45      0.906232       0.90623       301.907
      0.91263       0.90799      0.905992        287.49
     0.257502      0.955673      0.912759       273.832
     0.911231      0.955239      0.905667       299.554
     0.610693       1.00521      0.906753       312.301
     0.748791       1.00785      0.907614       261.448
     0.256336       1.05433      0.901992       336.691
         0.61       1.05619      0.906289       314.586
         0.75       1.05626      0.906253       298.233
     0.912759        1.0562      0.902811       278.004
     0.449154       1.10783      0.906542       287.969
     0.610007       1.10619      0.907031       306.642
         0.45       1.15505      0.906733       294.142
         0.91       1.15625      0.906565       311.709
         0.91       1.20619      0.906178       311.965
     0.856868      0.706084      0.962775       292.979
      0.55736      0.847293      0.959155       274.111
     0.558058      0.906349      0.947049       274.729
         0.61       0.95896      0.956219       298.391
         0.75      0.956837      0.956669       286.827
     0.913879      0.954491       0.95484       276.856
     0.311602        1.0068      0.958361       283.547
         0.75       1.00627      0.956291       299.691
     0.610431        1.0576      0.956414        315.54
      0.74858        1.0568      0.954862       276.265
         0.45       1.10625      0.956257       309.856
         0.61       1.10625       0.95625       314.252
     0.449325        1.1557      0.955994         293.1
         0.61       1.15619      0.956291       313.599
     0.912683       1.15475      0.957267         293.9
     0.857058       0.61355       1.00552       287.436
     0.556354      0.706754       1.00006       301.034
     0.505023      0.805732       1.01536       280.931
     0.858341       0.84751        1.0084       270.924
     0.312694      0.958374       1.00753       288.355
      0.44804      0.958747       1.00527        278.18
     0.804612      0.961169       1.01189       320.347
     0.913857       0.95879        1.0088       273.624
         0.31       1.00625       1.00592       314.769
         0.45       1.00625       1.00654       299.677
         0.31       1.05625       1.00626       316.155
         0.45       1.05626       1.00627       300.247
     0.804895       1.04936       1.00649        296.14
     0.312472       1.10396       1.00587       294.897
         0.45       1.10581       1.00653       304.425
     0.910481       1.10671       1.00633       311.576
         0.61       1.15579        1.0061       310.203
         0.91       1.15615       1.00629       309.685
     0.856546       0.66308       1.05484       287.775
     0.312727      0.906056       1.05819       290.699
     0.504734      0.914339       1.05852       279.999
     0.804467      0.897892       1.05849       278.297
         0.61      0.954737       1.05723       300.346
     0.911461      0.958074       1.05662       292.569
         0.45       1.00652       1.05566       299.346
     0.910681       1.00583       1.05675       304.309
         0.91       1.05626       1.05627       314.828
         0.31       1.10621       1.05626       314.919
     0.448034       1.10509       1.05494       263.915
         0.91       1.10624       1.05624       316.876
         0.61       1.15641       1.05643       309.582
     0.912528       1.15648        1.0538       293.121
     0.612672       1.20529       1.05771       289.219
     0.504967      0.710294       1.10291        325.09
     0.857069       0.71008       1.10323       325.128
     0.857287      0.804271       1.09808       275.905
         0.31      0.856957        1.1065       306.801
     0.311311      0.905141       1.10613       302.098
     0.612719      0.909455       1.10735       287.116
     0.610229      0.956207       1.10623       316.889
     0.612569        1.0071       1.10645       305.681
     0.804448       1.00978       1.09581       262.112
     0.911732       1.00553       1.10306        291.11
     0.312863       1.05917       1.10449       283.904
         0.61       1.05642       1.10692       312.781
         0.91       1.05635       1.10607       310.794
     0.310232       1.10613       1.10609       315.383
     0.611301       1.10536       1.10593       318.069
     0.310027       1.15458       1.10565       300.497
     0.612619       1.20627       1.10465       297.626
     0.504754      0.714451       1.15459       279.176
         0.31      0.906226       1.15626       315.472
     0.804257       0.90412       1.16877       257.123
     0.612438      0.957892       1.15636        297.92
      0.61024       1.00599       1.15608       316.171
     0.804726       1.01082       1.15315       322.752
     0.504905       1.05118       1.15324       323.737
         0.61       1.05621       1.15618         317.3
         0.31       1.10553       1.15493       301.791
         0.61        1.1062       1.15623       320.118
     0.805395       1.10547       1.15994       340.091
         0.31      0.859218       1.20328       286.507
     0.311158      0.906804       1.20617       307.925
         0.31       0.95625       1.20625       316.304
     0.804237      0.953786       1.21731       260.835
         0.31       1.00617       1.20648       313.286
     0.804917       1.01311       1.20643         298.4
         0.31       1.10569        1.2068       305.808
     0.804955       1.10271       1.20199       325.468
     0.504491      0.758564       1.24707       267.783
     0.505009       0.80611        1.2498       301.718
     0.804885      0.865901       1.25775       283.015
     0.312531      0.959409       1.25494       290.041
     0.311425        1.0064       1.25553       301.625
     0.503805      0.995877       1.25622       252.098
     0.311594        1.1072       1.25413       287.546
     0.504444      0.816806       1.30634       272.347
        0.805       1.04834       1.30586       288.101
     0.504476      0.853618       1.34708        268.76
     0.251979      0.895177      0.646347       277.364
     0.251966       0.90491      0.646377        277.11
         0.25       0.89416      0.656832       298.428
         0.25      0.894156       0.69375       305.366
         0.25      0.905844       0.69375       305.279
     0.742688       1.00851      0.664922       272.704
     0.742063       1.03719      0.693743       289.474
     0.558355      0.702908      0.741598        268.96
     0.551856      0.708469      0.742515        280.92
         0.55      0.743637      0.743865       308.897
     0.556456       0.74165      0.709193       328.163
         0.25      0.794233      0.744959       296.164
         0.55      0.755919      0.744089       304.176
     0.557786      0.799306        0.7493       330.142
         0.25      0.806303      0.744207       302.983
         0.25      0.843566      0.744784       299.063
     0.551655      0.807558      0.746317       287.764
         0.55      0.843846      0.743882       314.398
     0.558353      0.846767      0.717698       262.071
     0.742097      0.853097      0.742977       280.735
         0.25       0.89415      0.706255       305.593
     0.250846      0.856579      0.745096       292.562
         0.25      0.893756      0.743409       306.851
         0.55       0.85624      0.743806       315.075
     0.556385      0.887284      0.742077       289.487
     0.742952      0.893072       0.71418       284.074
         0.25      0.906244      0.743409       306.802
     0.250846      0.943421      0.745096       292.576
      0.74167      0.904114      0.715143       269.714
     0.442614       1.00332      0.747141       268.493
         0.25       1.00577      0.744959       296.128
     0.442808       1.03939      0.748963       323.924
     0.742014       1.03633      0.705898       284.673
     0.857184       0.69888      0.798169       323.947
         0.55      0.743755      0.756258       312.316
         0.55      0.743844      0.793266       309.025
     0.851031      0.707578      0.795099       288.292
         0.85      0.742827       0.79443       297.945
         0.25      0.793919      0.756518       305.322
         0.25      0.793863      0.793303       310.958
     0.551292       0.79579      0.758376       295.022
     0.550722      0.756537      0.793085       302.797
     0.556784      0.796131      0.789897       338.374
         0.85      0.793799      0.794414       299.279
         0.25      0.843688      0.756443       307.483
         0.25      0.806261      0.793752       313.214
         0.55      0.843754      0.756257       318.152
     0.551902      0.807402      0.790822       286.606
